Feature,Feature type,Statistic,Control,Case,Difference,Difference unit,Mean |SHAP|,Mean SHAP,Repeated-run mean |SHAP|,Run SD |SHAP|,Non-zero SHAP runs (%),Selection frequency (%),Top-k frequency rank,Top-k SHAP appearances,Top-k SHAP opportunities,Top-k SHAP frequency (%),Mean rank when in top K,Ranking top K,Displayed,Feature ranking method
agilent_signal,peptide,Prevalence (%),20.0,80.0,60.0,percentage points,0.07882544630994144,0.0011589412293424102,0.07882544630994144,0.0,100.0,100.0,1,1,1,100.0,1.0,30,True,mean-abs-shap
twist_signal,peptide,Prevalence (%),80.0,20.0,-60.0,percentage points,0.07821699595051906,-0.00280207133566023,0.07821699595051906,0.0,100.0,100.0,2,1,1,100.0,2.0,30,True,mean-abs-shap
twist_noise_25,peptide,Prevalence (%),66.66666666666666,33.33333333333333,-33.33333333333333,percentage points,0.036051380211760624,0.00018219141071822037,0.036051380211760624,0.0,100.0,100.0,3,1,1,100.0,3.0,30,True,mean-abs-shap
agilent_noise_03,peptide,Prevalence (%),33.33333333333333,63.33333333333333,30.0,percentage points,0.03587541586259601,-0.003991700140759121,0.03587541586259601,0.0,100.0,100.0,4,1,1,100.0,4.0,30,True,mean-abs-shap
Age,continuous clinical,Mean,56.800999999999995,54.407999999999994,-2.3930000000000007,feature units,0.02921495075669315,0.001271103765713214,0.02921495075669315,0.0,100.0,100.0,5,1,1,100.0,5.0,30,True,mean-abs-shap
Sex,binary clinical,Prevalence (%),56.666666666666664,33.33333333333333,-23.333333333333336,percentage points,0.024671215688372987,-0.0032034020483155167,0.024671215688372987,0.0,100.0,100.0,6,1,1,100.0,6.0,30,True,mean-abs-shap
twist_noise_19,peptide,Prevalence (%),63.33333333333333,40.0,-23.33333333333333,percentage points,0.02281865214761325,-0.005313351043241035,0.02281865214761325,0.0,100.0,66.66666666666667,7,1,1,100.0,7.0,30,True,mean-abs-shap
agilent_noise_42,peptide,Prevalence (%),53.333333333333336,43.333333333333336,-10.0,percentage points,0.016088862701162204,-0.007118288300831241,0.016088862701162204,0.0,100.0,33.333333333333336,8,1,1,100.0,8.0,30,True,mean-abs-shap
BMI,continuous clinical,Mean,26.252333333333333,24.977666666666664,-1.2746666666666684,feature units,0.01579020097465689,0.0030560834015684376,0.01579020097465689,0.0,100.0,100.0,9,1,1,100.0,9.0,30,True,mean-abs-shap
corona2_noise_26,peptide,Prevalence (%),40.0,66.66666666666666,26.666666666666657,percentage points,0.0157060343237229,-0.002557820527695456,0.0157060343237229,0.0,100.0,66.66666666666667,10,1,1,100.0,10.0,30,True,mean-abs-shap
